Date,Token0,Token1,FeeTier,TVLUSD,VolumeUSD,FeesUSD,APR
2022-01-18,ETH,RPC,3000,122610.5979615345320685805121497888,39116.87302587405493150034798601295,117.3506190776221647945010439580388,=I2*365/G2
2022-01-18,KIRO,ETH,3000,106050.8698516420167076156272919272,38778.48213848192149443947045949565,116.335446415445764483318411378487,=I2*365/G2
2022-01-18,USDC,DHT,3000,2540331.961303696390596345271427722,37532.954222,112.598862666,=I2*365/G2
2022-01-18,ETH,DISD,10000,153.2426621014607235413790634327932,37055.41619144617421747451217327111,370.5541619144617421747451217327111,=I2*365/G2
2022-01-18,CHEDDAR,ETH,10000,8259.417560531643490104083924022605,37055.03345061233527902314201646225,370.5503345061233527902314201646225,=I2*365/G2
2022-01-18,USDC,ID,3000,14633.015185,36728.302411,110.184907233,=I2*365/G2
2022-01-18,USDC,ETH,10000,8052091.174740766383695568219800076,36695.31506210257803625804906509651,366.9531506210257803625804906509651,=I2*365/G2
2022-01-18,LINK,USDC,3000,2540268.141858122814331146884552445,36414.52628258537171543185467117935,109.243578847756115146295564013538,=I2*365/G2
2022-01-18,WMATIC,ETH,3000,2016131.838961872399213959941592485,36232.42809407926360419010233355063,108.6972842822377908125703070006519,=I2*365/G2
2022-01-18,GREEN,ETH,500,211190.0642097293848162044638249727,35757.87474284443472645646180475749,17.87893737142221736322823090237876,=I2*365/G2
2022-01-18,WPC,ETH,10000,605393.703338185558279306684477285,35380.14918121173867533917321800573,353.8014918121173867533917321800573,=I2*365/G2
2022-01-18,XYO,USDT,3000,641609.4935889635629810005036929341,34961.564722,104.884694166,=I2*365/G2
2022-01-18,CIV,ETH,3000,19962.6365188011117355776156864701,34869.94287064984565246150889448603,104.609828611949536957384526683458,=I2*365/G2
2022-01-18,BIOS,USDT,3000,52461.553475,34754.443151,104.263329453,=I2*365/G2
2022-01-18,RWASTE,ETH,10000,65944.34513738390501423603399765711,34391.54839951025636237810644140792,343.9154839951025636237810644140792,=I2*365/G2
2022-01-18,FREE,ETH,10000,742606.3989249958381983090522904311,33163.0663202577895622527949097526,331.630663202577895622527949097526,=I2*365/G2
2022-01-18,ETH,AMP,10000,454641.2587804735558161944541162019,33151.92630087351042792616753942481,331.5192630087351042792616753942481,=I2*365/G2
2022-01-18,INV,USDC,3000,75277.069455,33124.680367,99.374041101,=I2*365/G2
2022-01-18,YGG,USDC,10000,5216318.091377004390562656508277329,33034.852419,330.34852419,=I2*365/G2
2022-01-18,DENT,ETH,10000,620230.6732096117489449593776568711,31972.46211917984394291292050491817,319.7246211917984394291292050491817,=I2*365/G2
2022-01-18,USDT,NGM,3000,443489.8646166407068509042651351786,31880.422008,95.641266024,=I2*365/G2
